TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
TITLE,US Recalls Summary (May – September 2017),2,"#
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-recall-sum
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-us-recall-sum"
TITLE,US Recalls Summary (November – December 2016),2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/jan2017-us-recalls-summary
https://www.asiainspection.com/regulatory-updates/January-2017/jan2017-us-recalls-summary"
TITLE,US Recalls Summary (September – October 2016),2,"#
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-us-recalls-summary
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-us-recalls-summary"
TITLE,US State California BPA Warning Requirement Becomes Effective,2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/california-bpa-warning
http://www.asiainspection.com/regulatory-updates/June-2016/california-bpa-warning"
TITLE,US State California OEHHA Adds Pesticides to Proposition 65 List,2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/california-oehha-proposition-65
http://www.asiainspection.com/regulatory-updates/June-2016/california-oehha-proposition-65"
TITLE,US State California OEHHA Adopts Amendments to Article 6 of the CCR Regarding Clear and Reasonable Warnings for Proposition 65,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-reasonable-warnings
https://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-reasonable-warnings"
TITLE,US State California OEHHA Issues Notice to Propose Chemicals for Consultation by CIC,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/california-chemicals-for-consultation
https://www.asiainspection.com/regulatory-updates/September-2016/california-chemicals-for-consultation"
TITLE,US State California OEHHA Proposes Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles
http://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles"
TITLE,US State California OEHHA Updates Proposition 65 List,2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/california-oehha-updates
http://www.asiainspection.com/regulatory-updates/May-2016/california-oehha-updates"
TITLE,US State California Proposition 65: Recent 60-Day Notices,2,"#
http://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-60-day
https://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-60-day"
TITLE,US State Connecticut Proposes Prohibition in Children's Products & Upholstered Residential Furniture Containing Certain Flame Retardants,2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/connecticut-flame-retardants
https://www.asiainspection.com/regulatory-updates/April-2016/connecticut-flame-retardants"
TITLE,US State Washington Senate Approves Bill to Amend CSPA Concerning Flame Retardant Chemicals,2,"#
https://www.asiainspection.com/regulatory-updates/April-2016/washington-flame-retardants
http://www.asiainspection.com/regulatory-updates/April-2016/washington-flame-retardants"
TITLE,US State of California Approves Amendment to CCR Regarding BPA in Canned and Bottled Foods and Beverages through Regular Rulemaking Procedure,2,"#
https://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages
http://www.asiainspection.com/regulatory-updates/January-2017/california-amendment-bottled-foods-beverages"
TITLE,US State of California CARB Revises Advisory on Labeling for Composite Wood Products,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/california-composite-wood-products
https://www.asiainspection.com/regulatory-updates/February-2017/california-composite-wood-products"
TITLE,US State of California DTSC Approves Priority Product,2,"#
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-dtsc-approves-priority-product
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-dtsc-approves-priority-product"
TITLE,US State of California DTSC Issues Revised Proposal for Listing First Priority Product,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/california-dtsc-priority-product
https://www.asiainspection.com/regulatory-updates/February-2017/california-dtsc-priority-product"
TITLE,US State of California First Proposition 65 Settlement Related to BPA in Food Contact Materials,2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-california-prop65-bpa-settlement
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-california-prop65-bpa-settlement"
TITLE,US State of California Issues Latest List (April 2017) of Proposition 65 NSRLs and MADLs,2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-california-latest-prop65
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-california-latest-prop65"
TITLE,US State of California Issues Latest List (May 2017) of Proposition 65 NSRLs and MADLs,2,"#
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-prop65-nsrls-madls
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-prop65-nsrls-madls"
TITLE,US State of California OAL Readopts Emergency Regulation Regarding BPA Warnings,2,"#
http://www.asiainspection.com/regulatory-updates/November-2016/california-emergency-regulation-bpa
https://www.asiainspection.com/regulatory-updates/November-2016/california-emergency-regulation-bpa"
TITLE,US State of California OEHHA Approved to List Glyphosate under Proposition 65,2,"#
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-glyphosate-prop65
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-glyphosate-prop65"
TITLE,US State of California OEHHA Approves NSRL for Styrene,2,"#
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-approves-nsrl-styrene
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-approves-nsrl-styrene"
TITLE,US State of California OEHHA Confirms Adding Glyphosate to be Listed under Proposition 65,2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-glyphosate-listed-prop65
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-glyphosate-listed-prop65"
TITLE,US State of California OEHHA Intends to List Pentabromodiphenyl Ether Mixture under Proposition 65,2,"#
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-california-oehha-list-pentabromodiphenyl-prop65
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-california-oehha-list-pentabromodiphenyl-prop65"
TITLE,US State of California OEHHA Issues Notice Regarding Listing Intention for Certain Chemicals,2,"#
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-notice-chemical-listing
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-california-oehha-notice-chemical-listing"
TITLE,US State of California OEHHA Issues Notice Regarding Listing Intention for PFOA and PFOS,2,"#
https://www.asiainspection.com/regulatory-updates/October-2016/california-pfoa-and-pfos
http://www.asiainspection.com/regulatory-updates/October-2016/california-pfoa-and-pfos"
TITLE,US State of California OEHHA Issues Notice Regarding Listing Intention for Vinylidene Chloride and Proposes its NSRL,2,"#
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-cal-listing-vinylidene
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-cal-listing-vinylidene"
TITLE,US State of California OEHHA Issues Notice about Readoption of Emergency Regulation Regarding BPA Warnings,2,"#
http://www.asiainspection.com/regulatory-updates/October-2016/california-bpa-regulation
https://www.asiainspection.com/regulatory-updates/October-2016/california-bpa-regulation"
TITLE,US State of California OEHHA Issues Proposition 65 Warning Examples and Translations for Business,2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-california-oehha-prop65-warnings-translations
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-california-oehha-prop65-warnings-translations"
TITLE,US State of California OEHHA Proposes to Repeal Outdated Requirements Related to Warning for BPA,2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-repeal-outdated-bpa
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-california-oehha-repeal-outdated-bpa"
TITLE,US State of California OEHHA Publishes New Guide on Proposition 65 Clear and Reasonable Warnings,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-oehha-publishes-new-guide-prop65
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-california-oehha-publishes-new-guide-prop65"
TITLE,US State of Maine Adopts New Priority Chemicals,2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-maine-adopts-new-priority-chemicals
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-maine-adopts-new-priority-chemicals"
TITLE,US State of Maine Approves Act to Prohibit Flame Retardant in Upholstered Furniture,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-maine-prohibit-flame-retardant-furniture
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-maine-prohibit-flame-retardant-furniture"
TITLE,US State of Maine Proposes New Priority Chemicals,2,"#
http://www.asiainspection.com/regulatory-updates/November-2016/maine-new-priority-chemicals
https://www.asiainspection.com/regulatory-updates/November-2016/maine-new-priority-chemicals"
TITLE,US State of Minnesota Issues Updated List of CHCs,2,"#
https://www.asiainspection.com/regulatory-updates/October-2016/minnesota-updated-chcs
http://www.asiainspection.com/regulatory-updates/October-2016/minnesota-updated-chcs"
TITLE,US State of Oregon Issues Exemptions Guidance on the High Priority Chemicals of Concern Reporting Rule,2,"#
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-oregon-high-priority-chemicals
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-oregon-high-priority-chemicals"
TITLE,US State of Oregon OHA Completes Phase 2 Rule Writing for High Priority Chemicals Reporting Rule,2,"#
https://www.asiainspection.com/regulatory-updates/February-2017/oregon-oha-priority-chemicals
http://www.asiainspection.com/regulatory-updates/February-2017/oregon-oha-priority-chemicals"
TITLE,US State of Vermont Issues Updated Chemical Reporting Forms and Guidance,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/vermont-updated-chemical-reporting
http://www.asiainspection.com/regulatory-updates/November-2016/vermont-updated-chemical-reporting"
TITLE,US State of Washington DOE Adopts Rule to Amend CHCC Reporting Rules,2,"#
https://www.asiainspection.com/regulatory-updates/October-2017/oct2017-washington-adopts-amend-chcc
http://www.asiainspection.com/regulatory-updates/October-2017/oct2017-washington-adopts-amend-chcc"
TITLE,US State of Washington Implements CSPA Phase 1 Restriction Concerning Flame Retardant Chemicals,2,"#
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-washington-cspa-restriction-flame-retardants
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-washington-cspa-restriction-flame-retardants"
TITLE,US State of Washington Updates Proposal to Amend CHCC Reporting Rule and List,2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-washington-proposal-amend-chcc-reporting
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-washington-proposal-amend-chcc-reporting"
TITLE,US States Bills Summary,2,"#
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-states-bills-summary
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-us-states-bills-summary"
TITLE,US TSCA Reform Compromise Bill Passes House of Representatives & Senate,2,"#
http://www.asiainspection.com/regulatory-updates/June-2016/us-house-of-representatives
https://www.asiainspection.com/regulatory-updates/June-2016/us-house-of-representatives"
TITLE,USA Proposes Lithium Battery Safety Act of 2016,2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/lithium-battery-safety
http://www.asiainspection.com/regulatory-updates/March-2016/lithium-battery-safety"
TITLE,Vermont Delays CHCC Reporting Deadline & Opens Online Reporting System,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/vermont-delay-deadline
http://www.asiainspection.com/regulatory-updates/August-2016/vermont-delay-deadline"
TITLE,"Washington State Publishes Enforcement Guidelines for Lead, Cadmium & Phthalates Violations in Children's Products",2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/washington-enforcement-guidelines
http://www.asiainspection.com/regulatory-updates/March-2016/washington-enforcement-guidelines"
TITLE,What Does Speed to Market Mean for Consumer Safety?,2,"#
http://www.asiainspection.com/whitepaper/speed-to-market-and-consumer-safety
https://www.asiainspection.com/whitepaper/speed-to-market-and-consumer-safety"
TITLE,Worldwide Quality Control Coverage | AsiaInspection,2,"#
https://www.asiainspection.com/quality-control-coverage
http://www.asiainspection.com/quality-control-coverage"
H1-1,September-2016 Regulatory Update,46,"#
https://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles
http://www.asiainspection.com/regulatory-updates/September-2016/california-bpa-cans-and-bottles
http://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-reasonable-warnings
https://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-reasonable-warnings
https://www.asiainspection.com/regulatory-updates/September-2016/colombia-lead-content
https://www.asiainspection.com/regulatory-updates/September-2016/china-food-and-nipples
http://www.asiainspection.com/regulatory-updates/September-2016/colombia-lead-content
http://www.asiainspection.com/regulatory-updates/September-2016/china-food-and-nipples
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-petition
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-petition
https://www.asiainspection.com/regulatory-updates/September-2016/philippines-school-supplies
http://www.asiainspection.com/regulatory-updates/September-2016/philippines-school-supplies
http://www.asiainspection.com/regulatory-updates/September-2016/california-chemicals-for-consultation
http://www.asiainspection.com/regulatory-updates/September-2016/hong-kong-toys-and-childrens-products
https://www.asiainspection.com/regulatory-updates/September-2016/california-chemicals-for-consultation
https://www.asiainspection.com/regulatory-updates/September-2016/hong-kong-toys-and-childrens-products
http://www.asiainspection.com/regulatory-updates/September-2016/australia-penalties-childrens-nightwear
https://www.asiainspection.com/regulatory-updates/September-2016/australia-penalties-childrens-nightwear
https://www.asiainspection.com/regulatory-updates/September-2016/europe-plastic-food-material
http://www.asiainspection.com/regulatory-updates/September-2016/europe-plastic-food-material
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-carriages-and-strollers
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-carriages-and-strollers
https://www.asiainspection.com/regulatory-updates/September-2016/astm-summary-candles
http://www.asiainspection.com/regulatory-updates/September-2016/astm-summary-candles
https://www.asiainspection.com/regulatory-updates/September-2016/cpsc-portable-hook-chairs
https://www.asiainspection.com/regulatory-updates/September-2016/thailand-food-labeling
http://www.asiainspection.com/regulatory-updates/September-2016/thailand-food-labeling
http://www.asiainspection.com/regulatory-updates/September-2016/cpsc-portable-hook-chairs
http://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-60-day
https://www.asiainspection.com/regulatory-updates/September-2016/california-prop65-60-day
http://www.asiainspection.com/regulatory-updates/September-2016/europe-harmonized-standards
http://www.asiainspection.com/regulatory-updates/September-2016/europe-amendment-toy-safety
https://www.asiainspection.com/regulatory-updates/September-2016/europe-harmonized-standards
https://www.asiainspection.com/regulatory-updates/September-2016/europe-amendment-toy-safety
https://www.asiainspection.com/regulatory-updates/September-2016/singapore-rohs-eee-products
http://www.asiainspection.com/regulatory-updates/September-2016/singapore-rohs-eee-products
http://www.asiainspection.com/regulatory-updates/September-2016/philippines-toy-labeling
https://www.asiainspection.com/regulatory-updates/September-2016/philippines-toy-labeling
https://www.asiainspection.com/regulatory-updates/September-2016/canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/September-2016/canada-recalls-summary
https://www.asiainspection.com/regulatory-updates/September-2016/us-recalls-summary
http://www.asiainspection.com/regulatory-updates/September-2016/us-recalls-summary
http://www.asiainspection.com/regulatory-updates/September-2016/updates-of-astm-standards
https://www.asiainspection.com/regulatory-updates/September-2016/updates-of-astm-standards
http://www.asiainspection.com/regulatory-updates/September-2016
https://www.asiainspection.com/regulatory-updates/September-2016"
